  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1 0.0000E+00 0.0000E+00 0.0000E+00
  2 0.0000E+00 0.0000E+00 0.0000E+00
  3 0.0000E+00 0.0000E+00 0.0000E+00
  4 0.0000E+00 0.0000E+00 0.0000E+00
  5 0.0000E+00 0.0000E+00 0.0000E+00
  6 0.0000E+00 0.0000E+00 0.0000E+00
  7 0.0000E+00 0.0000E+00 0.0000E+00
  8 0.0000E+00 0.0000E+00 0.0000E+00
  9 0.0000E+00 0.0000E+00 0.0000E+00
 10 0.0000E+00 0.0000E+00 0.0000E+00
 11 0.0000E+00 0.0000E+00 0.0000E+00
 12 0.0000E+00 0.0000E+00 0.0000E+00
 13 0.0000E+00 0.0000E+00 0.0000E+00
 14 0.0000E+00 0.0000E+00 0.0000E+00
 15 0.0000E+00 0.0000E+00 0.0000E+00
 16 0.0000E+00 0.0000E+00 0.0000E+00
 17 0.0000E+00 0.0000E+00 0.0000E+00
 18 0.0000E+00 0.0000E+00 0.0000E+00
 19 0.0000E+00 0.0000E+00 0.0000E+00
 20 0.0000E+00 0.0000E+00 0.0000E+00
 21 0.0000E+00 0.0000E+00 0.0000E+00
 22 0.0000E+00 0.0000E+00 0.0000E+00
 23 0.0000E+00 0.0000E+00 0.0000E+00
 24 0.0000E+00 0.0000E+00 0.0000E+00
 25 0.0000E+00 0.0000E+00 0.0000E+00
 26 0.0000E+00 0.0000E+00 0.0000E+00
 27 0.0000E+00 0.0000E+00 0.0000E+00
 28 0.0000E+00 0.0000E+00 0.0000E+00
 29 0.0000E+00 0.0000E+00 0.0000E+00
 30 0.0000E+00 0.0000E+00 0.0000E+00
 31 0.0000E+00 0.0000E+00 0.0000E+00
 32 0.0000E+00 0.0000E+00 0.0000E+00
 33 0.0000E+00 0.0000E+00 0.0000E+00
 34 0.0000E+00 0.0000E+00 0.0000E+00
 35 0.0000E+00 0.0000E+00 0.0000E+00
 36 0.0000E+00 0.0000E+00 0.0000E+00
 37 0.0000E+00 0.0000E+00 0.0000E+00
 38 0.0000E+00 0.0000E+00 0.0000E+00
 39 1.2177E-04 4.0474E-04 1.7376E+01
 40 1.2393E-04 4.1194E-04 5.0783E+02
 41 1.2574E-04 4.1796E-04 8.9597E+02
 42 1.2678E-04 4.2139E-04 1.2356E+03
